file_name,cohort,period,data_type,wiki_path,file_url,pi,other_notes
Family_GeneralData_Pregnancy_20251111,Generation R,Fetal Period (Phase 1),General data,Generation R > Fetal Period (Phase 1) > General data,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=003022,,
Family_BiologicalSamples_Pregnancy_20251001,Generation R,Fetal Period (Phase 1),General data,Generation R > Fetal Period (Phase 1) > General data,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002635,,If a sample can be picked for analysis depents on the volume still in storage. To be detetermined by datamanagement after approval of projectproposal
Family_BirthCountry_Pregnancy_20250428,Generation R,Fetal Period (Phase 1),General data,Generation R > Fetal Period (Phase 1) > General data,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=003015,,
Mother_Partus_Birth_20251001,Generation R,Fetal Period (Phase 1),General data,Generation R > Fetal Period (Phase 1) > General data,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=003014,,
Mother_BloodPressure_Pregnancy_20250521,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Blood pressure  pregnancy,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002686,"Vincent Jaddoe, Eric Steegers",
Partner_BloodPressure_Pregnancy_20250521,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Blood pressure  pregnancy,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=001732,"Vincent Jaddoe, Eric Steegers",
Fetal_Brain_LatePregnancy_20251002,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Ultrasound Pregnancy GenR,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002685,"Pauline Jansen, Manon Hillegers",
Fetal_Circulation_Pregnancy_20251002,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Ultrasound Pregnancy GenR,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002681,"Vincent Jaddoe, Eric Steegers",
Fetal_CRL_EarlyPregnancy_20251002,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Ultrasound Pregnancy GenR,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002680,"Vincent Jaddoe, Eric Steegers",
Fetal_Growth_Pregnancy_20251002,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Ultrasound Pregnancy GenR,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002679,"Vincent Jaddoe, Eric Steegers",
Fetal_GrowthLMPFilter_Pregnancy_20251002,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Ultrasound Pregnancy GenR,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002683,"Vincent Jaddoe, Eric Steegers",
Fetal_Placenta_Pregnancy_20251002,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Ultrasound Pregnancy GenR,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002682,"Vincent Jaddoe, Eric Steegers",
Child_Kidney_Pregnancy-24M_20251002,Generation R,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Generation R > Fetal Period (Phase 1) > Hands on measurements and ultrasounds > Ultrasound Pregnancy GenR,https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002684,"Vincent Jaddoe, Eric Steegers",
Parents_ExpressedEmotions_HomeVisitPreg30W_20250930,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Parental behaviour combined (fetal period),https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002618,"Pauline Jansen, Manon Hillegers",
Mother_AlcoholUse_Pregnancy_20250930,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Mother lifestyle combined (fetal period),https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002626,,
Mother_AlcoholUseBehavioralGroup_Pregnancy_20250930,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Mother lifestyle combined (fetal period),https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002627,,
Mother_CaffeineIntake_Pregnancy_20250930,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Mother lifestyle combined (fetal period),https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002625,,
Mother_FolicAcid_Pregnancy_20250930,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Mother lifestyle combined (fetal period),https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002624,,
Mother_Smoking_Pregnancy_20260216,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Mother lifestyle combined (fetal period),https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=003061,,
Mother_BenzodiazepineUse_Pregnancy_20250930,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Mother medication use combined (fetal period),https://p-epi-wiki.erasmusmc.nl/wiki/data/shop.php?wiki=genrwiki&item=002622,"Pauline Jansen, Manon Hillegers",
Mother_MedicationSelfReport_Pregnancy_20250930,Generation R,Fetal Period (Phase 1),Interviews & Questionnaires,Generation R > Fetal Period (Phase 1) > Interviews & Questionnaires > Mother medication use combined (fetal period),,,
